year,country,btb,cattle,eptb,human,prec,temp,tmax,tmin,id
2005,Angola,3,4015424,2569,19450959,1020.167,21.618647,31.054667,9.5351381,1
2006,Angola,5,4105750,2719,20162340,1020.167,21.618647,31.054667,9.5351381,1
2007,Angola,2,4198109,2911,20909684,1020.167,21.618647,31.054667,9.5351381,1
2008,Angola,10,4292545,3287,21691522,1020.167,21.618647,31.054667,9.5351381,1
2009,Angola,3,4389105,2580,22507674,1020.167,21.618647,31.054667,9.5351381,1
2010,Angola,4,4487838,3780,23364185,1020.167,21.618647,31.054667,9.5351381,1
2012,Angola,2,4687475,4776,25188292,1020.167,21.618647,31.054667,9.5351381,1
2012,Burundi,4,609430,1887,9795479,1194.347,19.727226,27.139959,12.321864,2
2015,Burundi,5,796530,2043,10727148,1194.347,19.727226,27.139959,12.321864,2
2016,Burundi,3,769991,2013,10903327,1194.347,19.727226,27.139959,12.321864,2
2005,Benin,8,1717900,285,8149419,1062.5366,27.18457,37.050182,18.477112,3
2006,Benin,8,1810000,318,8402631,1062.5366,27.18457,37.050182,18.477112,3
2007,Benin,42,1857000,331,8647761,1062.5366,27.18457,37.050182,18.477112,3
2008,Benin,33,1905000,400,8906469,1062.5366,27.18457,37.050182,18.477112,3
2009,Benin,9,1954000,418,9172514,1062.5366,27.18457,37.050182,18.477112,3
2010,Benin,25,2005000,367,9445710,1062.5366,27.18457,37.050182,18.477112,3
2011,Benin,11,2058000,398,9726380,1062.5366,27.18457,37.050182,18.477112,3
2012,Benin,11,2111000,316,10014078,1062.5366,27.18457,37.050182,18.477112,3
2013,Benin,19,2166000,293,10308730,1062.5366,27.18457,37.050182,18.477112,3
2014,Benin,8,2222000,359,10614844,1062.5366,27.18457,37.050182,18.477112,3
2016,Benin,5,2339000,402,11260085,1062.5366,27.18457,37.050182,18.477112,3
2017,Benin,3,2400000,311,11596779,1062.5366,27.18457,37.050182,18.477112,3
2018,Benin,27,2462000,318,11940683,1062.5366,27.18457,37.050182,18.477112,3
2005,Burkina Faso,1,7606887,571,13876127,762.86035,28.070299,38.808903,16.726877,4
2016,Burkina Faso,3,9457934,943,19275498,762.86035,28.070299,38.808903,16.726877,4
2017,Burkina Faso,3,9647073,822,19835858,762.86035,28.070299,38.808903,16.726877,4
2018,Burkina Faso,18,9840000,826,20392723,762.86035,28.070299,38.808903,16.726877,4
2009,Central African (Rep.),16,3807000,1394,4564540,1367.4771,24.903603,34.722977,14.80437,6
2010,Central African (Rep.),11,3893000,1079,4660067,1367.4771,24.903603,34.722977,14.80437,6
2008,Cote D'Ivoire,3,1537748,4592,20244449,1335.7734,26.267582,34.27615,18.959682,7
2009,Cote D'Ivoire,18,1573116,4952,20677762,1335.7734,26.267582,34.27615,18.959682,7
2010,Cote D'Ivoire,12,1581582,5179,21120042,1335.7734,26.267582,34.27615,18.959682,7
2011,Cote D'Ivoire,24,1582652,4729,21562914,1335.7734,26.267582,34.27615,18.959682,7
2013,Cote D'Ivoire,13,1585585,5436,22469268,1335.7734,26.267582,34.27615,18.959682,7
2014,Cote D'Ivoire,5,1587000,5243,22995555,1335.7734,26.267582,34.27615,18.959682,7
2017,Cote D'Ivoire,1,1666978,4105,24848016,1335.7734,26.267582,34.27615,18.959682,7
2018,Cote D'Ivoire,1,1694873,3891,25493988,1335.7734,26.267582,34.27615,18.959682,7
2005,Cameroon,14,6000000,2461,17275171,1641.3423,24.286591,32.264034,17.088587,8
2006,Cameroon,4,6000000,3100,17751333,1641.3423,24.286591,32.264034,17.088587,8
2009,Cameroon,1,5000300,3190,19319274,1641.3423,24.286591,32.264034,17.088587,8
2012,Cameroon,1,5527128,3524,21032684,1641.3423,24.286591,32.264034,17.088587,8
2013,Cameroon,1,5805297,3884,21632850,1641.3423,24.286591,32.264034,17.088587,8
2014,Cameroon,1,5950000,4060,22299585,1641.3423,24.286591,32.264034,17.088587,8
2015,Cameroon,4,6066463,4139,23012646,1641.3423,24.286591,32.264034,17.088587,8
2016,Cameroon,7,5829739,4322,23711630,1641.3423,24.286591,32.264034,17.088587,8
2011,Congo (Dem. Rep. of the),25,748349,21579,68654269,1594.6276,23.931156,30.937292,16.631065,9
2012,Congo (Dem. Rep. of the),11,893006,20669,70997870,1594.6276,23.931156,30.937292,16.631065,9
2013,Congo (Dem. Rep. of the),5,946585,20297,73460021,1594.6276,23.931156,30.937292,16.631065,9
2014,Congo (Dem. Rep. of the),7,949425,19566,76035588,1594.6276,23.931156,30.937292,16.631065,9
2015,Congo (Dem. Rep. of the),14,1005385,20329,78656904,1594.6276,23.931156,30.937292,16.631065,9
2016,Congo (Dem. Rep. of the),25,1044874,22354,81430977,1594.6276,23.931156,30.937292,16.631065,9
2017,Congo (Dem. Rep. of the),18,1080993,24959,84283273,1594.6276,23.931156,30.937292,16.631065,9
2018,Congo (Dem. Rep. of the),34,1144766,27788,87087355,1594.6276,23.931156,30.937292,16.631065,9
2011,Congo (Rep. of the),2,335000,2990,4584216,1655.8634,24.498268,30.871044,18.197741,10
2013,Congo (Rep. of the),1,337000,2850,4828066,1655.8634,24.498268,30.871044,18.197741,10
2014,Congo (Rep. of the),1,340000,2466,4944861,1655.8634,24.498268,30.871044,18.197741,10
